SiF-,silicon monofluoride anion,-1
SiF+,silicon monofluoride cation,1
SiCl-,silicon monochloride anion,-1
SiCl+,silicon monochloride cation,1
GeF+,Germanium monofluoride cation,1
GeCl+,Germanium monochloride cation,1
SiBr+,Silicon monobromide cation,1
NF-,nitrogen monofluorine anion,-1
NF+,nitrogen monofluoirde cation,1
NCl-,nitrogen monochloride anion,-1
NCl+,nitrogen monochloride cation,1
PF-,phosphorus monofluoride anion,-1
PF+,phosphorus monofluoride cation,1
PCl-,phosphorus monochloride anion,-1
PCl+,phosphorus monochloride cation,1
FO-,flourine oxide anion,-1
FO+,fluorine monoxide cation,1
ClO-,chlorine monoxide anion,-1
ClO+,chlorine monoxide cation,1
SF-,sulfur monofluoride anion,-1
SF+,sulfur monofluoride cation,1
SCl-,sulfur monochloride anion,-1
SCl+,sulfur monochloride cation,1
BrO-,Bromine monoxide anion,-1
F2-,flourine diatomic anion,-1
F2+,flourine diatomic cation,1
ClF-,clorine monofluoride anion,-1
ClF+,clorine monofluoride cation,1
Cl2-,chlorine diatomic anion,-1
Cl2+,chlorine diatomic cation,1
BrF-,bromine fluoride anion,-1
BrF+,bromine fluoride cation,1
BrCl-,bromine chloride anion,-1
BrCl+,bromine chloride cation,1
Br2-,bromine diatomic anion,-1
Br2+,bromine diatomic cation,1
I2+,Iodine diatomic cation,1
HOCl+,hypochlorous acid cation,1
HOBr+,Hypobromous acid cation,1
F2H+,"Fluorine, protonated",1
FHF-,FHF-,-1
ClFH+,"Chlorine fluoride, F-protonated",1
FClH+,"Chlorine fluoride, Cl-protonated",1
Cl2H+,"Chlorine, protonated",1
CH2F+,fluoromethyl cation,1
CH2Cl+,chloromethyl cation,1
CH3F+,methyl fluoride cation,1
CH3Cl+,Methyl chloride cation,1
CH3ClH+,"methyl chloride, protonated",1
LiNe+,Lithium Neon cation,1
Ne2+,Neon diatomic cation,1
Ar2+,Argon diatomic cation,1
Li3+,Lithium trimer cation,1
C3+,carbon trimer cation,1
C3H3-,Propargyl anion,-1
C3H3+,cyclopropenyl cation,1
C3H3+,Propargyl cation,1
C3H5+,Allyl cation,1
C3H7+,"cyclopropane, protonated",1
C3H7+,n-propyl cation,1
CH3CHCH3+,Isopropyl cation,1
N3-,azide anion,-1
N3+,azide cation,1
HN3+,Hydrazoic acid cation,1
CH3CN-,acetonitrile anion,-1
CH3CN+,Acetonitrile cation,1
HCNCH2+,2H-Azirine cation,1
HNCNH2+,"diiminomethane, protonated",1
NCNH3+,"Cyanamide, protonated",1
NH2CNH+,"cyanamide, cn protonated",1
NH3CN+,"cyanamide, amine protonated",1
C2H5NH+,Protonated Aziridine,1
C2H6N+,"aziridine, protonated",1
NH2CH2NH3+,"diaminoethane, protonated",1
(CH3)2NH2+,dimethylammonium cation,1
CH3CH2NH3+,"ethylamine, protonated",1
Li2O+,dilithium oxide cation,1
CNO-,fulminate,-1
NCO-,cyanate,-1
SCN-,thiocyanide anion,-1
BO2-,Boron dioxide anion,-1
BO2+,Boron dioxide cation,1
N2O-,Nitrous oxide anion,-1
N2O+,Nitrous oxide cation,1
CO2-,Carbon dioxide anion,-1
CO2+,Carbon dioxide cation,1
OCS+,Carbonyl sulfide cation,1
CS2-,Carbon disulfide anion,-1
CS2+,Carbon disulfide cation,1
NO2-,Nitrogen dioxide anion,-1
NO2+,Nitrogen dioxide cation,1
PO2-,Phosphorus dioxide anion,-1
PO2+,Phosphorus dioxide cation,1
O3-,Ozone anion,-1
O3+,Ozone cation,1
SO2-,Sulfur dioxide anion,-1
SO2+,Sulfur dioxide cation,1
S3-,Sulfur trimer anion,-1
S3+,Sulfur trimer cation,1
SeO2+,Selenium dioxide cation,1
HCO2-,formate anion,-1
HNNO+,"Nitrous oxide, N-protonated",1
NNOH+,"Nitrous Oxide, O-protonated",1
HOCO+,Hydrocarboxyl cation,1
HNO2+,nitrous acid cation,1
O3H+,protonated ozone,1
SO2H+,protonated sulfur dioxide,1
CH2CO+,Ketene cation,1
H2COO+,dioxymethyl cation,1
CH2COH+,"ketene, protonated",1
CH3CO-,Acetyl anion,-1
CH3CO+,acetyl cation,1
CH3OO-,methylperoxy anion,-1
CH3OO+,methylperoxy cation,1
C2H4O+,ethylene oxide cation,1
CH3CHO+,acetaldehyde cation,1
H2COCH2+,"Methyl, (methyleneoxoniumyl)?-",1
H2CONH2+,protonated formamide,1
NH2CHOH+,"Formamide, O-protonated",1
NH3CHO+,"Formamide, N-Protonated",1
C2H4OH+,"ethylene oxide, protonated",1
CH3CHOH+,"acetaldehyde, protonated",1
CH3SCH3+,dimethyl sulfide cation,1
FCO+,Carbonyl fluoride cation,1
CF2-,Difluoromethylene anion,-1
CF2+,Difluoromethylene cation,1
SiF2+,Silicon difluoride cation,1
CCl2-,dichloromethylene anion,-1
CCl2+,dichloromethylene cation,1
ClOO+,chloroperoxy cation,1
OClO-,Chlorine dioxide anion,-1
OClO+,Chlorine dioxide cation,1
NF2+,Difluoroamino cation,1
PF2+,Phosphorus difluoride cation,1
SF2-,sulfur difluoride anion,-1
SF2+,sulfur difluoride cation,1
F3-,trifluoride anion,-1
Cl3-,trichloride anion,-1
HCCF+,fluoroacetylene cation,1
HFCO+,formyl fluoride cation,1
CHF2+,difluoromethyl cation,1
CHFCl+,Chlorofluoromethyl cation,1
CHCl2+,dichloromethyl cation,1
CH2CHF+,fluoroethene cation,1
C4+,Carbon tetramer cation,1
C4H2+,diacetlyene cation,1
C2N2+,Cyanogen cation,1
HCCCN+,Cyanoacetylene cation,1
C3H3N+,acrylonitrile cation,1
CH3NHN2+,"methyl azide, protonated",1
CH6N3+,guanidinium,1
(CH3)3NH+,protonated trimethyl amine,1
C3H7NH3+,"n-propylamine, protonated",1
CO3--,carbonate,-2
CS3--,Carbonotrithioate,-2
NO3-,nitrate anion,-1
NO3+,nitrogen trioxide cation,1
SO3-,Sulfur trioxide anion,-1
SO3+,Sulfur trioxide cation,1
HCO3-,bicarbonate anion,-1
C2H2O2+,Ethanedial cation,1
H2NO3+,"Nitric Acid, Protonated",1
CH3COO-,acetate anion,-1
H3CO3+,"carbonic acid, protonated",1
NH2CONH2+,Urea cation,1
NH2COOH2+,"Carbamic acid, O-protonated",1
NH3COOH+,protonated Carbamic acid,1
CH5N2O+,"urea, N-protonated",1
H2NCOHNH2+,"urea, protonated",1
CH3COCH3-,acetone anion,-1
CH3COHCH3+,"acetone, protonated",1
C2Cl2+,dichloroacetylene cation,1
CF2O+,Carbonic difluoride cation,1
BF3-,"Borane, trifluoro- anion",-1
BF3+,boron trifluoride cation,1
ClO3-,chlorate anion,-1
CF3-,Trifluoromethyl anion,-1
CF3+,Trifluoromethyl cation,1
SiF3+,Silicon trifluoride cation,1
CCl3-,Trichloromethyl anion,-1
CCl3+,Trichloromethyl cation,1
SiCl3+,trichlorosilyl cation,1
NF3-,Nitrogen trifluoride anion,-1
NF3+,Nitrogen trifluoride cation,1
NF3H+,protonated nitrogen trifluoride,1
AsF3H+,"Arsenic trifluoride, protonated",1
CH2ClCH2OH2+,"2-chloroethanol, protonated",1
C3H9O+,trimethyl oxonium cation,1
C5H5-,cylopentadienyl anion,-1
C3H3N2-,imidizolyl anion,-1
C4H4N-,pyrrolide anion,-1
C4H6N+,"pyrrole, alpha-protonated",1
C4H6N+,"pyrrole, beta-protonated",1
C4H6N+,"pyrrole, protonated",1
NC4H12+,tetramethyl ammonium cation,1
C3O2+,Carbon suboxide cation,1
PO4---,phosphate,-3
SO4--,sulfate,-2
HSO4-,bisulfate anion,-1
C4H4O+,Furan cation,1
C4H10O+,1-Butanol cation,1
ClO4-,perchlorate anion,-1
BF4-,tetrafluoroboron anion,-1
CCl4+,Carbon tetrachloride cation,1
C2HF3+,Trifluoroethylene cation,1
C6H5-,phenyl anion,-1
C6H6+,Benzene cation,1
C6H7+,"benzene, protonated",1
C5H6N+,Pyridinium,1
C2O4--,oxalate anion,-2
CF3CN+,"Acetonitrile, trifluoro- cation",1
C2F4+,Tetrafluoroethylene cation,1
SiF5-,silicon pentafluoride anion,-1
SF5+,pentafluoro sulfur cation,1
C7H7+,cycloheptatrienyl cation,1
CF3COO-,trifluoro acetate anion,-1
PF6-,Hexafluorophosphate ion,-1
C4O4--,squarate dianion,-2
C6N4-,tetracyanoethylene anion,-1
B12H12--,Dodecahydrododecaborate(2-),-2
