54,Xenon,Xe,131.293,5,18,gas,Noble Gas,,1.2,,12.1298,0.005887,161.45,165.03,31,0.158,[Kr] 5s2 4d10 5p6,8
55,Cesium,Cs,132.9054519,6,1,solid,Alkali Metal,1.7,3.3,0.79,3.8939,1.873,301.7,944,22,0.242,[Xe] 6s1,1
56,Barium,Ba,137.327,6,2,solid,Alkaline Earth Metal,1.4,2.8,0.89,5.2117,3.594,1002.15,2170,25,0.204,[Xe] 6s2,2
57,Lanthanum,La,138.90547,6,3,solid,Lanthanide,1.1,2.7,1.1,5.5769,6.145,1193.15,3737,19,0.195,[Xe] 6s2 5d1,2
58,Cerium,Ce,140.116,6,19,solid,Lanthanide,1,2.7,1.12,5.5387,6.77,1071.15,3716,19,0.192,[Xe] 6s2 4f1 5d1,2
59,Praseodymium,Pr,140.90765,6,20,solid,Lanthanide,1,2.7,1.13,5.473,6.773,1204.15,3793,15,0.193,[Xe] 6s2 4f3,2
60,Neodymium,Nd,144.242,6,21,solid,Lanthanide,1,2.6,1.14,5.525,7.007,1289.15,3347,16,0.19,[Xe] 6s2 4f4,2
61,Promethium,Pm,145,6,22,artificial,Lanthanide,0.98,2.6,1.13,5.582,7.26,1204.15,3273,14,,[Xe] 6s2 4f5,2
62,Samarium,Sm,150.36,6,23,solid,Lanthanide,0.96,2.6,1.17,5.6437,7.52,1345.15,2067,17,0.197,[Xe] 6s2 4f6,2
63,Europium,Eu,151.964,6,24,solid,Lanthanide,0.95,2.6,1.2,5.6704,5.243,1095.15,1802,21,0.182,[Xe] 6s2 4f7,2
64,Gadolinium,Gd,157.25,6,25,solid,Lanthanide,0.94,2.5,1.2,6.1501,7.895,1585.15,3546,17,0.236,[Xe] 6s2 4f7 5d1,2
65,Terbium,Tb,158.92535,6,26,solid,Lanthanide,0.92,2.5,1.2,5.8638,8.229,1630.15,3503,24,0.182,[Xe] 6s2 4f9,2
66,Dysprosium,Dy,162.5,6,27,solid,Lanthanide,0.91,2.5,1.22,5.9389,8.55,1680.15,2840,21,0.17,[Xe] 6s2 4f10,2
67,Holmium,Ho,164.93032,6,28,solid,Lanthanide,0.9,2.5,1.23,6.0215,8.795,1743.15,2993,29,0.165,[Xe] 6s2 4f11,2
68,Erbium,Er,167.259,6,29,solid,Lanthanide,0.88,2.5,1.24,6.1077,9.066,1795.15,3503,16,0.168,[Xe] 6s2 4f12,2
69,Thulium,Tm,168.93421,6,30,solid,Lanthanide,0.87,2.4,1.25,6.1843,9.321,1818.15,2223,18,0.16,[Xe] 6s2 4f13,2
70,Ytterbium,Yb,173.054,6,31,solid,Lanthanide,0.86,2.4,1.1,6.2542,6.965,1097.15,1469,16,0.155,[Xe] 6s2 4f14,2
71,Lutetium,Lu,174.9668,6,32,solid,Lanthanide,0.85,2.3,1.27,5.4259,9.84,1936.15,3675,22,0.154,[Xe] 6s2 4f14 5d1,2
72,Hafnium,Hf,178.49,6,4,solid,Transition Metal,0.71,2.2,1.3,6.8251,13.31,2500.15,4876,17,0.144,[Xe] 6s2 4f14 5d2,2
73,Tantalum,Ta,180.94788,6,5,solid,Transition Metal,0.64,2.1,1.5,7.5496,16.654,3269.15,5731,19,0.14,[Xe] 6s2 4f14 5d3,2
74,Wolfram,W,183.84,6,6,solid,Transition Metal,0.62,2,2.36,7.864,19.25,3680.15,5828,22,0.132,[Xe] 6s2 4f14 5d4,2
75,Rhenium,Re,186.207,6,7,solid,Transition Metal,0.56,2,1.9,7.8335,21.02,3453.15,5869,21,0.137,[Xe] 6s2 4f14 5d5,2
76,Osmium,Os,190.23,6,8,solid,Transition Metal,0.63,1.9,2.2,8.4382,22.61,3300.15,5285,19,0.13,[Xe] 6s2 4f14 5d6,2
